uid,vid,X.U.FEFF.FOLIO,VIV_SEL,HOGAR,C_DENEVI,P3A2_2,P3A2_3,P3A3,P3A4,P3A5,P3A6,P3A7,P3A8_1,P3A8_2,P3A8_3,P3A9,P3A10,P3A11,ENT,TLOC,EST_DIS,UPM_DIS,FACTOR
4535_4_1,4535_4,4535,4,1,1,2,1,3,4,NA,5,1,1,NA,NA,1,2,3,17,4,286,4535,187
4535_9_1,4535_9,4535,9,1,1,2,NA,2,4,NA,5,1,1,NA,NA,1,1,NA,17,4,286,4535,187
4535_9_1,4535_9,4535,9,1,2,3,NA,2,4,NA,5,1,1,NA,NA,1,1,NA,17,4,286,4535,187
4535_11_1,4535_11,4535,11,1,1,3,NA,2,4,NA,5,1,1,NA,NA,1,2,1,17,4,286,4535,187
4535_15_1,4535_15,4535,15,1,1,2,NA,4,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,4,286,4535,187
4535_18_1,4535_18,4535,18,1,1,3,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,4,286,4535,187
4536_1_1,4536_1,4536,1,1,1,1,NA,2,4,NA,3,1,1,NA,NA,1,2,9,17,4,286,4536,397
4536_2_1,4536_2,4536,2,1,1,3,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,4,286,4536,397
4536_13_1,4536_13,4536,13,1,1,2,NA,1,4,NA,5,1,3,NA,NA,9,2,9,17,4,286,4536,397
4536_14_1,4536_14,4536,14,1,1,1,2,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,4,286,4536,397
4537_2_1,4537_2,4537,2,1,1,1,NA,5,4,NA,5,1,1,NA,NA,1,1,NA,17,4,287,4537,223
4537_6_1,4537_6,4537,6,1,1,1,NA,3,4,NA,1,2,NA,NA,NA,NA,NA,NA,17,4,287,4537,223
4537_11_1,4537_11,4537,11,1,1,3,NA,3,4,NA,5,1,1,NA,NA,1,2,1,17,4,287,4537,223
4537_17_1,4537_17,4537,17,1,1,3,NA,4,4,NA,5,1,1,NA,NA,1,1,NA,17,4,287,4537,223
4537_18_1,4537_18,4537,18,1,1,1,NA,1,4,NA,1,1,1,NA,NA,1,1,NA,17,4,287,4537,223
4538_6_1,4538_6,4538,6,1,1,3,4,2,4,NA,5,1,7,NA,NA,1,1,NA,17,4,286,4538,602
4539_4_1,4539_4,4539,4,1,1,1,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,4,286,4539,293
4539_5_1,4539_5,4539,5,1,1,2,NA,1,4,NA,1,1,1,4,NA,1,2,8,17,4,286,4539,293
4540_3_1,4540_3,4540,3,1,1,1,NA,2,4,NA,3,2,NA,NA,NA,NA,NA,NA,17,4,287,4540,463
4541_1_1,4541_1,4541,1,1,1,3,NA,1,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,4,286,4541,168
4541_4_1,4541_4,4541,4,1,1,1,NA,4,4,NA,5,1,1,NA,NA,1,1,NA,17,4,286,4541,168
4541_6_1,4541_6,4541,6,1,1,2,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,4,286,4541,168
