uid,vid,X.U.FEFF.FOLIO,VIV_SEL,HOGAR,N_INF,P3A1_1,P3A1_2,P4_1,P4_2_2,P7_1,ENT,TLOC,EST_DIS,UPM_DIS,FACTOR
64_3_1,64_3,64,3,1,2,1,1,NA,2,1,1,1,3,64,213
64_4_1,64_4,64,4,1,1,2,NA,NA,1,2,1,1,3,64,213
64_5_1,64_5,64,5,1,2,2,NA,NA,2,2,1,1,3,64,213
65_1_1,65_1,65,1,1,4,2,NA,NA,2,1,1,1,2,65,229
65_2_1,65_2,65,2,1,1,2,NA,NA,1,2,1,1,2,65,229
65_3_1,65_3,65,3,1,2,2,NA,NA,1,2,1,1,2,65,229
65_4_1,65_4,65,4,1,1,2,NA,NA,1,2,1,1,2,65,229
65_5_1,65_5,65,5,1,1,1,1,NA,1,2,1,1,2,65,229
66_1_1,66_1,66,1,1,1,2,NA,NA,1,2,1,1,2,66,221
66_2_1,66_2,66,2,1,1,2,NA,NA,1,2,1,1,2,66,221
66_3_1,66_3,66,3,1,2,2,NA,NA,2,2,1,1,2,66,221
66_4_1,66_4,66,4,1,1,2,NA,NA,1,2,1,1,2,66,221
66_5_1,66_5,66,5,1,5,2,NA,NA,1,2,1,1,2,66,221
67_1_1,67_1,67,1,1,5,2,NA,NA,5,2,1,1,2,67,200
67_2_1,67_2,67,2,1,2,2,NA,NA,2,2,1,1,2,67,200
67_3_1,67_3,67,3,1,1,2,NA,NA,1,2,1,1,2,67,200
67_5_1,67_5,67,5,1,1,2,NA,NA,1,2,1,1,2,67,200
68_1_1,68_1,68,1,1,1,2,NA,NA,1,2,1,1,2,68,225
68_2_1,68_2,68,2,1,1,2,NA,NA,1,2,1,1,2,68,225
68_3_1,68_3,68,3,1,1,2,NA,NA,1,2,1,1,2,68,225
68_4_1,68_4,68,4,1,2,2,NA,NA,2,2,1,1,2,68,225
68_5_1,68_5,68,5,1,1,1,1,NA,1,2,1,1,2,68,225
69_1_1,69_1,69,1,1,1,2,NA,NA,1,1,1,1,2,69,192
69_2_1,69_2,69,2,1,1,2,NA,NA,1,2,1,1,2,69,192
69_3_1,69_3,69,3,1,1,2,NA,NA,1,2,1,1,2,69,192
69_4_1,69_4,69,4,1,1,2,NA,NA,1,2,1,1,2,69,192
69_5_1,69_5,69,5,1,1,2,NA,NA,1,2,1,1,2,69,192
